CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,Cluster,Cluster_Label
12346,325,1,124.8,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12347,2,7,4185.2,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12348,75,4,1328.88,2,4,4,10,244,Risk Altındakiler,1,Platin Müşteri
12349,18,1,1443.8,4,1,4,9,414,Yeni Müşteriler,0,Altın Müşteri
12350,310,1,309.4,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12352,36,8,1505.74,3,5,4,12,354,Sadık Müşteriler,1,Platin Müşteri
12353,204,1,89.0,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12354,232,1,1073.55,1,1,4,6,114,Pasif Müşteriler,2,Gümüş Müşteri
12355,214,1,459.4,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12356,22,3,2757.43,4,3,5,12,435,Sadık Müşteriler,1,Platin Müşteri
12357,33,1,6197.67,3,1,5,9,315,Umut Vaad Edenler,0,Altın Müşteri
12358,1,2,1018.06,5,2,4,11,524,Yeni Müşteriler,0,Altın Müşteri
12359,57,4,5015.03,3,4,5,12,345,Sadık Müşteriler,1,Platin Müşteri
12360,52,3,2425.36,3,3,5,11,335,Sadık Müşteriler,1,Platin Müşteri
12361,287,1,189.9,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12362,3,10,5169.78,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12363,109,2,552.0,2,2,3,7,223,Pasif Müşteriler,0,Altın Müşteri
12364,7,4,1291.5,5,4,4,13,544,Şampiyonlar,1,Platin Müşteri
12365,291,2,335.69,1,2,2,5,122,Kayıp Müşteriler,2,Gümüş Müşteri
12367,4,1,165.9,5,1,1,7,511,Yeni Müşteriler,0,Altın Müşteri
12370,51,4,3396.38,3,4,5,12,345,Sadık Müşteriler,1,Platin Müşteri
12371,44,2,1662.96,3,2,4,9,324,Potansiyel Sadıklar,0,Altın Müşteri
12372,71,3,1286.04,3,3,4,10,334,Sadık Müşteriler,0,Altın Müşteri
12373,311,1,339.6,1,1,2,4,112,Kayıp Müşteriler,2,Gümüş Müşteri
12374,25,1,664.03,4,1,3,8,413,Yeni Müşteriler,0,Altın Müşteri
12375,10,2,407.5,5,2,2,9,522,Yeni Müşteriler,0,Altın Müşteri
12377,315,2,1578.12,1,2,4,7,124,Pasif Müşteriler,2,Gümüş Müşteri
12378,129,1,3969.49,2,1,5,8,215,Pasif Müşteriler,0,Altın Müşteri
12379,81,2,852.24,2,2,3,7,223,Pasif Müşteriler,0,Altın Müşteri
12380,21,4,2623.11,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12381,4,5,1620.31,5,4,4,13,544,Şampiyonlar,1,Platin Müşteri
12383,184,5,1829.92,1,4,4,9,144,Risk Altındakiler,1,Platin Müşteri
12384,28,2,485.27,4,2,3,9,423,Yeni Müşteriler,0,Altın Müşteri
12386,337,2,401.9,1,2,2,5,122,Kayıp Müşteriler,2,Gümüş Müşteri
12388,15,6,2780.66,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12390,79,1,545.94,2,1,3,6,213,Pasif Müşteriler,0,Altın Müşteri
12391,21,1,435.21,4,1,2,7,412,Yeni Müşteriler,0,Altın Müşteri
12393,72,4,1549.4,2,4,4,10,244,Risk Altındakiler,1,Platin Müşteri
12394,63,2,1006.12,3,2,4,9,324,Potansiyel Sadıklar,0,Altın Müşteri
12395,19,12,2972.68,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12397,35,2,2396.25,3,2,5,10,325,Potansiyel Sadıklar,0,Altın Müşteri
12398,45,1,1510.66,3,1,4,8,314,Pasif Müşteriler,0,Altın Müşteri
12399,119,4,1108.65,2,4,4,10,244,Risk Altındakiler,0,Altın Müşteri
12401,303,1,84.3,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12402,323,1,225.6,1,1,1,3,111,Kayıp Müşteriler,2,Gümüş Müşteri
12403,49,1,421.7,3,1,2,6,312,Pasif Müşteriler,0,Altın Müşteri
12405,148,1,1510.39,2,1,4,7,214,Pasif Müşteriler,0,Altın Müşteri
12406,22,2,3374.05,4,2,5,11,425,Yeni Müşteriler,1,Platin Müşteri
12407,49,5,1653.48,3,4,4,11,344,Sadık Müşteriler,1,Platin Müşteri
12408,32,5,2876.85,4,4,5,13,445,Şampiyonlar,1,Platin Müşteri
12409,78,3,11052.27,2,3,5,10,235,Risk Altındakiler,1,Platin Müşteri
12410,308,2,593.33,1,2,3,6,123,Pasif Müşteriler,2,Gümüş Müşteri
12412,74,3,1217.88,2,3,4,9,234,Risk Altındakiler,0,Altın Müşteri
12413,66,3,731.15,3,3,3,9,333,Sadık Müşteriler,0,Altın Müşteri
12414,217,3,487.41,1,3,3,7,133,Risk Altındakiler,2,Gümüş Müşteri
12415,24,21,99764.97,4,5,5,14,455,Şampiyonlar,1,Platin Müşteri
12417,3,9,3569.5,5,5,5,15,555,Şampiyonlar,1,Platin Müşteri
12418,112,1,668.58,2,1,3,6,213,Pasif Müşteriler,0,Altın Müşteri
12420,63,1,596.49,3,1,3,7,313,Pasif Müşteriler,0,Altın Müşteri
12421,15,4,729.04,4,4,3,11,443,Sadık Müşteriler,0,Altın Müşteri
