CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment
12346,325,1,124.8,1,1,1,3,111,Kayıp Müşteriler
12347,2,7,4185.2,5,5,5,15,555,Şampiyonlar
12348,75,4,1328.43,2,4,4,10,244,Risk Altındakiler
12349,18,1,1443.5,4,1,4,9,414,Yeni Müşteriler
12350,310,1,309.35,1,1,2,4,112,Kayıp Müşteriler
12352,36,8,1505.34,3,5,4,12,354,Sadık Müşteriler
12353,204,1,89.0,1,1,1,3,111,Kayıp Müşteriler
12354,232,1,1073.4,1,1,4,6,114,Pasif Müşteriler
12355,214,1,459.4,1,1,2,4,112,Kayıp Müşteriler
12356,22,3,2756.53,4,3,5,12,435,Sadık Müşteriler
12357,33,1,6197.62,3,1,5,9,315,Umut Vaad Edenler
12358,1,2,1017.76,5,2,4,11,524,Yeni Müşteriler
12359,57,4,5013.78,3,4,5,12,345,Sadık Müşteriler
12360,52,3,2424.61,3,3,5,11,335,Sadık Müşteriler
12361,287,1,189.85,1,1,1,3,111,Kayıp Müşteriler
12362,3,10,5167.63,5,5,5,15,555,Şampiyonlar
12363,109,2,552.0,2,2,3,7,223,Pasif Müşteriler
12364,7,4,1291.15,5,4,4,13,544,Şampiyonlar
12365,291,2,335.64,1,2,2,5,122,Kayıp Müşteriler
12367,4,1,165.85,5,1,1,7,511,Yeni Müşteriler
12370,51,4,3396.23,3,4,5,12,345,Sadık Müşteriler
12371,44,2,1662.51,3,2,4,9,324,Potansiyel Sadıklar
12372,71,3,1285.74,3,3,4,10,334,Sadık Müşteriler
12373,311,1,339.55,1,1,2,4,112,Kayıp Müşteriler
12374,25,1,663.78,4,1,3,8,413,Yeni Müşteriler
12375,10,2,407.4,5,2,2,9,522,Yeni Müşteriler
12377,315,2,1578.02,1,2,4,7,124,Pasif Müşteriler
12378,129,1,3969.34,2,1,5,8,215,Pasif Müşteriler
12379,81,2,851.99,2,2,3,7,223,Pasif Müşteriler
12380,21,4,2621.96,4,4,5,13,445,Şampiyonlar
12381,4,5,1619.86,5,4,4,13,544,Şampiyonlar
12383,184,5,1829.22,1,4,4,9,144,Risk Altındakiler
12384,28,2,485.07,4,2,3,9,423,Yeni Müşteriler
12386,337,2,401.9,1,2,2,5,122,Kayıp Müşteriler
12388,15,6,2780.66,4,4,5,13,445,Şampiyonlar
12390,79,1,545.69,2,1,3,6,213,Pasif Müşteriler
12391,21,1,435.16,4,1,2,7,412,Yeni Müşteriler
12393,72,4,1549.4,2,4,4,10,244,Risk Altındakiler
12394,63,2,1005.57,3,2,4,9,324,Potansiyel Sadıklar
12395,19,12,2971.58,4,5,5,14,455,Şampiyonlar
12397,35,2,2395.25,3,2,5,10,325,Potansiyel Sadıklar
12398,45,1,1510.41,3,1,4,8,314,Pasif Müşteriler
12399,119,4,1108.4,2,4,4,10,244,Risk Altındakiler
12401,303,1,84.25,1,1,1,3,111,Kayıp Müşteriler
12402,323,1,225.5,1,1,1,3,111,Kayıp Müşteriler
12403,49,1,421.6,3,1,2,6,312,Pasif Müşteriler
12405,148,1,1509.99,2,1,4,7,214,Pasif Müşteriler
12406,22,2,3374.05,4,2,5,11,425,Yeni Müşteriler
12407,49,5,1652.83,3,4,4,11,344,Sadık Müşteriler
12408,32,5,2875.65,4,4,5,13,445,Şampiyonlar
12409,78,3,11052.27,2,3,5,10,235,Risk Altındakiler
12410,308,2,593.13,1,2,3,6,123,Pasif Müşteriler
12412,74,3,1217.63,2,3,4,9,234,Risk Altındakiler
12413,66,3,730.9,3,3,3,9,333,Sadık Müşteriler
12414,217,3,487.26,1,3,3,7,133,Risk Altındakiler
12415,24,21,99764.92,4,5,5,14,455,Şampiyonlar
12417,3,9,3567.85,5,5,5,15,555,Şampiyonlar
12418,112,1,668.58,2,1,3,6,213,Pasif Müşteriler
12420,63,1,596.39,3,1,3,7,313,Pasif Müşteriler
12421,15,4,728.74,4,4,3,11,443,Sadık Müşteriler
12422,95,3,728.41,2,3,3,8,233,Risk Altındakiler
12423,0,8,1854.56,5,5,4,14,554,Şampiyonlar
12424,162,2,1735.52,2,2,4,8,224,Pasif Müşteriler
12425,78,1,777.2,2,1,3,6,213,Pasif Müşteriler
12426,194,1,568.53,1,1,3,5,113,Pasif Müşteriler
12427,21,3,769.17,4,3,3,10,433,Sadık Müşteriler
12428,25,9,6804.91,4,5,5,14,455,Şampiyonlar
12429,9,4,3672.45,5,4,5,14,545,Şampiyonlar
12430,43,1,231.35,3,1,1,5,311,Pasif Müşteriler
12431,35,15,5752.56,3,5,5,13,355,Sadık Müşteriler
12432,42,5,4194.17,3,4,5,12,345,Sadık Müşteriler
12433,0,7,13185.31,5,5,5,15,555,Şampiyonlar
12434,84,2,806.14,2,2,3,7,223,Pasif Müşteriler
12435,79,2,7626.85,2,2,5,9,225,Umut Vaad Edenler
12436,99,1,458.91,2,1,2,5,212,Pasif Müşteriler
12437,1,18,4866.01,5,5,5,15,555,Şampiyonlar
12438,14,2,2631.3,4,2,5,11,425,Yeni Müşteriler
12441,366,1,170.5,1,1,1,3,111,Kayıp Müşteriler
12442,3,1,159.01,5,1,1,7,511,Yeni Müşteriler
12444,21,5,4335.31,4,4,5,13,445,Şampiyonlar
12445,22,1,107.3,4,1,1,6,411,Yeni Müşteriler
12446,57,1,1002.31,3,1,4,8,314,Pasif Müşteriler
12447,243,1,476.34,1,1,3,5,113,Pasif Müşteriler
12448,44,1,360.25,3,1,2,6,312,Pasif Müşteriler
12449,22,4,4044.79,4,4,5,13,445,Şampiyonlar
12450,156,2,197.88,2,2,1,5,221,Pasif Müşteriler
12451,10,5,8984.47,5,4,5,14,545,Şampiyonlar
12452,16,2,380.47,4,2,2,8,422,Yeni Müşteriler
12453,134,1,707.09,2,1,3,6,213,Pasif Müşteriler
12454,56,1,2950.34,3,1,5,9,315,Umut Vaad Edenler
12455,73,6,2322.21,2,4,5,11,245,Risk Altındakiler
12456,44,3,2805.29,3,3,5,11,335,Sadık Müşteriler
12457,66,7,2146.83,3,5,5,13,355,Sadık Müşteriler
12458,71,2,847.2,3,2,3,8,323,Potansiyel Sadıklar
12461,94,2,701.63,2,2,3,7,223,Pasif Müşteriler
12462,18,2,1072.14,4,2,4,10,424,Yeni Müşteriler
12463,53,4,1320.38,3,4,4,11,344,Sadık Müşteriler
12464,10,8,1199.2,5,5,4,14,554,Şampiyonlar
12465,17,2,741.99,4,2,3,9,423,Yeni Müşteriler
12468,187,2,717.34,1,2,3,6,123,Pasif Müşteriler
12471,2,30,19001.25,5,5,5,15,555,Şampiyonlar
12472,32,7,6478.71,4,5,5,14,455,Şampiyonlar
12473,29,5,2848.83,4,4,5,13,445,Şampiyonlar
12474,17,18,7188.34,4,5,5,14,455,Şampiyonlar
12475,53,1,714.23,3,1,3,7,313,Pasif Müşteriler
12476,15,11,6602.37,4,5,5,14,455,Şampiyonlar
12477,22,6,13213.74,4,4,5,13,445,Şampiyonlar
12478,3,1,590.84,5,1,3,9,513,Yeni Müşteriler
12479,11,1,518.05,5,1,3,9,513,Yeni Müşteriler
12480,28,4,3095.73,4,4,5,13,445,Şampiyonlar
12481,22,10,5474.22,4,5,5,14,455,Şampiyonlar
12483,17,8,2150.18,4,5,5,14,455,Şampiyonlar
12484,32,6,4174.93,4,4,5,13,445,Şampiyonlar
12488,9,3,1269.51,5,3,4,12,534,Sadık Müşteriler
12489,336,1,326.83,1,1,2,4,112,Kayıp Müşteriler
12490,5,10,5323.38,5,5,5,15,555,Şampiyonlar
12491,38,1,407.5,3,1,2,6,312,Pasif Müşteriler
12492,63,2,257.11,3,2,2,7,322,Potansiyel Sadıklar
12493,165,2,422.59,2,2,2,6,222,Pasif Müşteriler
12494,15,7,1218.65,4,5,4,13,454,Şampiyonlar
12497,81,1,1017.35,2,1,4,7,214,Pasif Müşteriler
12498,21,3,394.55,4,3,2,9,432,Potansiyel Sadıklar
12500,23,11,3763.19,4,5,5,14,455,Şampiyonlar
12501,336,1,2142.99,1,1,5,7,115,Pasif Müşteriler
12502,95,5,3368.57,2,4,5,11,245,Risk Altındakiler
12504,18,2,472.9,4,2,3,9,423,Yeni Müşteriler
12506,232,1,73.5,1,1,1,3,111,Kayıp Müşteriler
12507,134,3,1126.96,2,3,4,9,234,Risk Altındakiler
12508,26,2,390.36,4,2,2,8,422,Yeni Müşteriler
12509,284,1,173.45,1,1,1,3,111,Kayıp Müşteriler
12510,142,2,904.27,2,2,4,8,224,Pasif Müşteriler
12512,66,2,132.18,3,2,1,6,321,Pasif Müşteriler
12513,112,1,603.14,2,1,3,6,213,Pasif Müşteriler
12514,267,1,1017.68,1,1,4,6,114,Pasif Müşteriler
12515,353,1,323.55,1,1,2,4,112,Kayıp Müşteriler
12516,77,2,1273.43,2,2,4,8,224,Pasif Müşteriler
12517,28,5,2417.96,4,4,5,13,445,Şampiyonlar
12518,0,5,2020.29,5,4,5,14,545,Şampiyonlar
12519,63,1,321.69,3,1,2,6,312,Pasif Müşteriler
12520,79,5,2583.46,2,4,5,11,245,Risk Altındakiler
12521,142,1,590.53,2,1,3,6,213,Pasif Müşteriler
12522,39,2,186.62,3,2,1,6,321,Pasif Müşteriler
12523,19,11,1762.47,4,5,4,13,454,Şampiyonlar
12524,9,8,4268.94,5,5,5,15,555,Şampiyonlar
12526,0,3,1292.26,5,3,4,12,534,Sadık Müşteriler
12527,81,3,345.66,2,3,2,7,232,Pasif Müşteriler
12528,9,6,1882.68,5,5,4,14,554,Şampiyonlar
12530,59,4,1554.83,3,4,4,11,344,Sadık Müşteriler
12531,14,1,110.22,4,1,1,6,411,Yeni Müşteriler
12532,30,1,343.73,4,1,2,7,412,Yeni Müşteriler
12534,130,1,1066.88,2,1,4,7,214,Pasif Müşteriler
12535,91,2,716.35,2,2,3,7,223,Pasif Müşteriler
12536,43,3,4289.61,3,3,5,11,335,Sadık Müşteriler
12538,29,1,363.95,4,1,2,7,412,Yeni Müşteriler
12539,22,4,5554.35,4,4,5,13,445,Şampiyonlar
12540,19,17,12520.99,4,5,5,14,455,Şampiyonlar
12541,29,3,915.93,4,3,4,11,434,Sadık Müşteriler
12544,36,1,346.6,3,1,2,6,312,Pasif Müşteriler
12545,75,2,922.09,2,2,4,8,224,Pasif Müşteriler
12546,46,2,1096.25,3,2,4,9,324,Potansiyel Sadıklar
12547,197,2,181.7,1,2,1,4,121,Kayıp Müşteriler
12548,166,1,82.15,2,1,1,4,211,Pasif Müşteriler
12550,79,1,899.58,2,1,4,7,214,Pasif Müşteriler
12551,357,1,168.0,1,1,1,3,111,Kayıp Müşteriler
12552,38,2,362.67,3,2,2,7,322,Potansiyel Sadıklar
12553,8,10,3622.13,5,5,5,15,555,Şampiyonlar
12556,50,2,585.06,3,2,3,8,323,Potansiyel Sadıklar
12557,16,5,6624.54,4,4,5,13,445,Şampiyonlar
12558,7,1,269.96,5,1,2,8,512,Yeni Müşteriler
12559,310,2,555.61,1,2,3,6,123,Pasif Müşteriler
12560,5,3,2095.41,5,3,5,13,535,Sadık Müşteriler
12561,302,1,238.85,1,1,2,4,112,Kayıp Müşteriler
12562,8,7,3698.64,5,5,5,15,555,Şampiyonlar
12564,261,1,441.75,1,1,2,4,112,Kayıp Müşteriler
12565,288,1,145.92,1,1,1,3,111,Kayıp Müşteriler
12566,86,1,342.5,2,1,2,5,212,Pasif Müşteriler
12567,22,10,9129.08,4,5,5,14,455,Şampiyonlar
12569,2,32,3959.99,5,5,5,15,555,Şampiyonlar
12571,39,2,519.61,3,2,3,8,323,Potansiyel Sadıklar
12572,8,2,998.12,5,2,4,11,524,Yeni Müşteriler
12573,227,1,157.19,1,1,1,3,111,Kayıp Müşteriler
12574,315,1,212.35,1,1,1,3,111,Kayıp Müşteriler
12576,35,5,1298.83,3,4,4,11,344,Sadık Müşteriler
12577,35,3,618.2,3,3,3,9,333,Sadık Müşteriler
12578,21,2,2611.81,4,2,5,11,425,Yeni Müşteriler
12579,78,1,431.27,2,1,2,5,212,Pasif Müşteriler
12580,246,1,409.6,1,1,2,4,112,Kayıp Müşteriler
12581,39,1,194.66,3,1,1,5,311,Pasif Müşteriler
12582,238,2,411.16,1,2,2,5,122,Kayıp Müşteriler
12583,2,15,7102.18,5,5,5,15,555,Şampiyonlar
12584,3,9,2273.0,5,5,5,15,555,Şampiyonlar
12585,234,2,1949.66,1,2,5,8,125,Pasif Müşteriler
12586,17,1,196.94,4,1,1,6,411,Yeni Müşteriler
12587,7,1,118.95,5,1,1,7,511,Yeni Müşteriler
12588,39,1,189.85,3,1,1,5,311,Pasif Müşteriler
12589,28,2,634.48,4,2,3,9,423,Yeni Müşteriler
12590,211,2,9044.21,1,2,5,8,125,Pasif Müşteriler
12591,317,1,413.7,1,1,2,4,112,Kayıp Müşteriler
12592,92,2,431.5,2,2,2,6,222,Pasif Müşteriler
12593,108,3,412.0,2,3,2,7,232,Pasif Müşteriler
12594,37,10,3282.97,3,5,5,13,355,Sadık Müşteriler
12596,51,2,539.97,3,2,3,8,323,Potansiyel Sadıklar
12597,19,4,3516.42,4,4,5,13,445,Şampiyonlar
12598,9,8,2986.48,5,5,5,15,555,Şampiyonlar
12599,29,7,1008.18,4,5,4,13,454,Şampiyonlar
12600,28,10,2550.24,4,5,5,14,455,Şampiyonlar
12601,189,5,536.81,1,4,3,8,143,Risk Altındakiler
12602,58,1,153.12,3,1,1,5,311,Pasif Müşteriler
12603,21,1,717.85,4,1,3,8,413,Yeni Müşteriler
12604,79,2,251.13,2,2,2,6,222,Pasif Müşteriler
12607,60,1,1577.51,3,1,4,8,314,Pasif Müşteriler
12609,78,3,1099.4,2,3,4,9,234,Risk Altındakiler
12610,22,5,1889.04,4,4,4,12,444,Şampiyonlar
12611,52,1,1135.72,3,1,4,8,314,Pasif Müşteriler
12612,74,1,697.94,2,1,3,6,213,Pasif Müşteriler
12613,57,5,3301.68,3,4,5,12,345,Sadık Müşteriler
12614,277,1,315.6,1,1,2,4,112,Kayıp Müşteriler
12615,2,4,2257.64,5,4,5,14,545,Şampiyonlar
12616,95,2,701.1,2,2,3,7,223,Pasif Müşteriler
12617,29,1,341.63,4,1,2,7,412,Yeni Müşteriler
12618,21,1,152.26,4,1,1,6,411,Yeni Müşteriler
12619,16,9,3099.78,4,5,5,14,455,Şampiyonlar
12620,14,3,1333.31,4,3,4,11,434,Sadık Müşteriler
12621,1,20,13264.52,5,5,5,15,555,Şampiyonlar
12622,232,1,177.05,1,1,1,3,111,Kayıp Müşteriler
12623,276,1,299.0,1,1,2,4,112,Kayıp Müşteriler
12624,106,2,628.93,2,2,3,7,223,Pasif Müşteriler
12625,211,2,2638.07,1,2,5,8,125,Pasif Müşteriler
12626,23,9,6507.63,4,5,5,14,455,Şampiyonlar
12627,10,7,4406.23,5,5,5,15,555,Şampiyonlar
12628,4,3,777.31,5,3,3,11,533,Sadık Müşteriler
12630,9,2,1118.58,5,2,4,11,524,Yeni Müşteriler
12631,57,1,540.3,3,1,3,7,313,Pasif Müşteriler
12633,58,4,2039.53,3,4,5,12,345,Sadık Müşteriler
12635,89,2,1658.68,2,2,4,8,224,Pasif Müşteriler
12637,67,8,5915.36,3,5,5,13,355,Sadık Müşteriler
12638,33,1,571.49,3,1,3,7,313,Pasif Müşteriler
